Sentence #,Word,POS,Tag
,Discovery,NNP,I-AP
,.,.,O
Sentence 11,The,DT,O
,U,NNP,O
,.,.,O
,S,NNP,O
,.,.,O
,Government,NNP,B-ID
,refers,NNS,O
,to,TO,O
,malicious,JJ,B-IND
,cyber,NN,I-IND
,activity,NN,I-IND
,by,IN,O
,the,DT,O
,North,JJ,B-ID
,Korean,JJ,I-ID
,government,NN,I-ID
,as,IN,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,.,.,O
Sentence 12,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,actors,NNS,O
,commonly,RB,O
,target,VBP,O
,systems,NNS,O
,running,VBG,O
,older,JJR,B-V
,",",",",O
,unsupported,JJ,I-V
,versions,NNS,I-V
,of,IN,O
,Microsoft,NNP,I-V
,operating,VBG,I-V
,systems,NNS,I-V
,.,.,O
Sentence 13,DeltaCharlie,NNP,B-M
,is,VBZ,O
,a,DT,O
,DDoS,NNP,B-AP
,tool,NN,I-AP
,used,VBN,O
,by,IN,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,actors,NNS,O
,.,.,O
Sentence 14,Some,DT,O
,organizations,NNS,O
,track,VBP,O
,North,JJ,B-ID
,Korean,JJ,I-ID
,clusters,NNS,I-ID
,or,CC,O
,groups,NNS,O
,such,JJ,O
,as,IN,O
,Bluenoroff,NNP,B-TA
,",",",",O
,APT37,NNP,B-TA
,",",",",O
,and,CC,O
,APT38,NNP,B-TA
,separately,RB,O
,.,.,O
Sentence 15,DTrack,NN,B-M
,:,:,O
,previously,RB,O
,unknown,IN,O
,spy,JJ,B-M
,-,:,O
,tool,NN,I-M
,by,IN,O
,Lazarus,NNP,B-TA
,hits,NNS,O
,financial,JJ,B-ID
,institutions,NNS,I-ID
,and,CC,O
,research,NN,B-ID
,centers,NNS,I-ID
,.,.,O
Sentence 16,Lazarus,NNP,B-TA
,group,NN,I-TA
,heavily,RB,O
,targeted,VBN,O
,individuals,NNS,O
,with,IN,O
,spear,JJ,B-AP
,phishing,VBG,I-AP
,emails,NNS,I-AP
,.,.,O
Sentence 17,AppleJeus,NNP,B-M
,has,VBZ,O
,been,VBN,O
,used,VBN,O
,by,IN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,.,.,O
Sentence 18,AppleJeus,NNP,B-M
,can,MD,O
,install,VB,B-AP
,itself,PRP,I-AP
,as,IN,I-AP
,a,DT,O
,service,NN,I-AP
,.,.,O
Sentence 19,AppleJeus,NNP,B-M
,has,VBZ,O
,collected,VBN,B-AP
,the,DT,O
,victim,NN,I-AP
,host,NN,I-AP
,information,NN,I-AP
,after,IN,O
,infection,NN,I-AP
,and,CC,O
,is,VBZ,O
,used,VBN,O
,for,IN,O
,System,NNP,B-V
,Information,NNP,I-V
,Discovery,NNP,I-V
,.,.,O
Sentence 20,AppleJeus,NNP,B-M
,has,VBZ,O
,exfiltrated,VBN,B-AP
,/,/,O
,collected,VBN,B-AP
,host,NN,I-AP
,information,NN,I-AP
,to,TO,O
,a,DT,O
,C2,NNP,B-AP
,server,NN,I-AP
,.,.,O
Sentence 21,AppleJeus,NNP,B-M
,has,VBZ,O
,been,VBN,O
,distributed,VBN,B-AP
,via,IN,O
,spearphishing,VBG,I-AP
,link,NN,I-AP
,.,.,O
Sentence 22,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NNP,B-M
,KiloAlfa,NNP,I-M
,contains,VBZ,O
,keylogging,VBG,B-AP
,functionality,NN,I-AP
,.,.,O
Sentence 23,Operation,NN,B-ID
,Blockbuster,NNP,I-ID
,linked,VBD,O
,the,DT,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,to,TO,O
,a,DT,O
,number,NN,O
,of,IN,O
,attacks,NNS,O
,through,IN,O
,a,DT,O
,pattern,NN,B-IND
,of,IN,I-IND
,code,NN,I-IND
,re,NN,I-IND
,-,-,I-IND
,usage,NN,I-IND
,.,.,O
Sentence 24,A,DT,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NN,B-M
,does,VBZ,O
,Data,NNP,B-AP
,Encoding,NNP,I-AP
,with,IN,O
,base64,NN,B-INF
,.,.,O
Sentence 25,Lazarus,NNP,B-TA
,used,VBD,O
,d33bceb356a04b58ce8cf5baea860239,NN,B-AP
,",",",",O
,819edb8646bf2f877ab636a8b27caafd,CD,B-AP
,",",",",O
,1a00ef6c4cc9ae09f3f7d59cd726add1,CD,B-AP
,Hashes,NNP,I-AP
,for,IN,O
,attacks,NNS,O
,on,IN,O
,the,DT,O
,Cryptocurrency,NN,B-ID
,Industry,NN,I-ID
,.,.,O
Sentence 26,The,DT,O
,Cryptography,NNP,B-ID
,Industry,NNP,I-ID
,attacked,VBD,O
,the,DT,O
,https,NN,B-ID
,:,:,I-ID
,/,JJ,I-ID
,/,NNP,I-ID
,www,NN,I-ID
,.,.,I-ID
,smartaudpor,NN,I-ID
,.,.,I-ID
,com,NN,I-ID
,/,JJ,I-ID
,image,NN,I-ID
,/,NNP,I-ID
,upload,NN,I-ID
,/,NNP,I-ID
,upload,NN,I-ID
,.,.,I-ID
,asp,JJ,I-ID
,URL,NNP,I-ID
,.,.,O
Sentence 27,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,targeted,VBD,O
,one,CD,O
,of,IN,O
,the,DT,O
,largest,JJS,O
,Pharmaceutical,JJ,B-ID
,Companies,NNS,I-ID
,.,.,O
Sentence 28,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,uses,VBZ,O
,secure,NN,B-AP
,file,NN,I-AP
,deletion,NN,I-AP
,to,TO,
,delete,VB,B-AP
,files,NNS,I-AP
,from,IN,O
,the,DT,O
,victim,NN,O
,and,CC,O
,techniques,NNS,O
,like,IN,O
,"""",NNP,O
,suicide,NN,B-AP
,scripts,NNS,I-AP
,"""",VBP,O
,.,.,O
Sentence 29,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,exploited,VBN,O
,Adobe,NNP,B-V
,Flash,NNP,I-V
,vulnerability,NN,I-V
,CVE,NNP,I-V
,-,:,I-V
,2018,CD,I-V
,-,:,I-V
,4878,CD,I-V
,for,IN,O
,execution,NN,O
,in,IN,O
,order,NN,O
,to,TO,O
,use,VB,O
,Exploitation,NNP,B-AP
,for,IN,I-AP
,Client,NNP,I-AP
,Execution,NNP,I-AP
,.,.,O
Sentence 30,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,is,VBZ,O
,given,VBN,O
,the,DT,O
,Mitre,NNP,B-ID
,Group,NNP,I-ID
,name,NN,O
,of,IN,O
,G0032,NNP,B-ID
,.,.,O
Sentence 31,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,uses,VBZ,O
,Initial,NNP,B-AP
,Access,NNP,I-AP
,techniques,NNS,I-AP
,Drive,NNP,I-AP
,-,:,O
,by,IN,O
,Compromise,NNP,O
,",",",",O
,Spearphishing,NNP,B-M
,Attachment,NNP,I-M
,",",",",O
,Spearphishing,NNP,B-AP
,via,IN,I-AP
,Service,NNP,I-AP
,.,.,O
Sentence 32,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,uses,VBZ,O
,Exploitation,NNP,O
,for,IN,O
,Client,NNP,B-AP
,Execution,NNP,I-AP
,",",",",O
,Malicious,NNP,B-M
,File,NNP,I-M
,",",",",O
,PowerShell,NNP,B-INF
,",",",",O
,Shortcut,NNP,B-AP
,Modification,NNP,I-AP
,",",",",O
,Windows,NNP,B-INF
,Service,NNP,I-INF
,",",",",O
,Bootkit,NNP,B-M
,for,IN,O
,Execution,NNP,O
,.,.,O
Sentence 33,For,IN,O
,Persistance,NNP,B-AP
,",",",",O
,Lazarus,NNP,B-TA
,uses,VBZ,O
,Account,NNP,B-AP
,Manipulation,NNP,I-AP
,.,.,O
Sentence 34,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,uses,VBZ,O
,Bootkit,NNP,B-M
,",",",",O
,Security,NNP,B-INF
,Support,NNP,I-INF
,Provider,NNP,I-INF
,and,CC,O
,Windows,NNP,B-INF
,Service,NNP,I-INF
,for,IN,O
,Persistance,NNP,B-AP
,as,RB,O
,well,RB,O
,.,.,O
Sentence 35,DLL,NNP,B-AP
,injection,NN,I-AP
,is,VBZ,O
,a,DT,O
,method,NN,O
,of,IN,O
,executing,VBG,B-AP
,arbitrary,JJ,I-AP
,code,NN,I-AP
,in,IN,O
,the,DT,O
,address,JJ,B-AP
,space,NN,I-AP
,of,IN,I-AP
,a,DT,I-AP
,separate,JJ,I-AP
,live,JJ,I-AP
,process,NN,I-AP
,",",",",O
,used,VBN,O
,by,IN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,.,.,O
Sentence 36,Security,NNP,B-INF
,Support,NNP,I-INF
,Provider,NNP,I-INF
,is,VBZ,O
,used,VBN,O
,for,IN,O
,Priviledge,NNP,B-V
,Escalation,NNP,I-V
,by,IN,O
,Lazarus,NNP,B-TA
,.,.,O
Sentence 37,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,hosted,VBN,O
,malicious,JJ,B-M
,downloads,NNS,O
,on,IN,O
,Github,NNP,B-INF
,which,WDT,O
,is,VBZ,O
,a,DT,O
,case,NN,O
,of,IN,O
,Acquire,NNP,B-AP
,Infrastructure,NN,I-AP
,:,:,O
,Web,NNP,B-AP
,Services,NNPS,I-AP
,.,.,O
Sentence 38,USA,NNP,B-L
,issued,VBD,O
,a,DT,O
,public,JJ,O
,alert,NN,O
,about,IN,O
,a,DT,O
,new,JJ,O
,version,NN,O
,of,IN,O
,malware,NN,B-M
,dubbed,VBN,O
,ELECTRICFISH,NNP,B-M
,.,.,O
Sentence 39,Using,VBG,O
,spear,JJ,B-AP
,-,:,O
,phishing,NN,I-AP
,techniques,NNS,I-AP
,",",",",O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,members,NNS,O
,posed,VBD,O
,as,IN,O
,health,NN,O
,officials,NNS,O
,and,CC,O
,contacted,VBD,O
,pharmaceutical,JJ,B-ID
,company,NN,I-ID
,employees,NNS,O
,with,IN,O
,malicious,JJ,B-AP
,links,NNS,I-AP
,.,.,O
Sentence 40,Trojan,NNP,B-M
,Downloader,NNP,I-M
,used,VBN,O
,by,IN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,:,:,O
,0,NN,O
,648dea285e282467c78ac184ad98fd77,CD,O
,.,.,O
Sentence 41,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,delivered,VBD,O
,RATANKBA,NNP,B-M
,to,TO,O
,victims,NNS,O
,via,IN,O
,a,DT,O
,compromised,JJ,B-T
,legitimate,NN,I-T
,website,NN,I-T
,case,NN,O
,which,WDT,O
,was,VBD,O
,a,DT,O
,of,IN,O
,Drive,NNP,B-AP
,-,:,O
,by,IN,I-AP
,Compromise,NNP,I-AP
,.,.,O
Sentence 42,RATANKBA,NNP,B-M
,uploads,NNS,B-AP
,and,CC,O
,downloads,NNS,B-AP
,information,NN,I-AP
,.,.,O
Sentence 43,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NNP,B-M
,SierraCharlie,NNP,B-M
,uses,VBZ,O
,Remote,NNP,B-INF
,Desktop,NNP,B-INF
,Protocol,NNP,B-INF
,for,IN,O
,propagation,NN,O
,.,.,O
Sentence 44,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,used,VBN,O
,a,DT,O
,custom,JJ,B-AP
,secure,NN,I-AP
,delete,JJ,I-AP
,function,NN,I-AP
,to,TO,O
,overwrite,VB,B-AP
,file,JJ,I-AP
,contents,NNS,I-AP
,with,IN,O
,data,NNS,O
,from,IN,O
,heap,JJ,O
,memory,NN,O
,.,.,O
Sentence 45,Several,JJ,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NN,B-M
,families,NNS,O
,install,VBP,O
,themselves,PRP,O
,as,IN,O
,new,JJ,B-AP
,windows,NNS,I-AP
,services,NNS,I-AP
,on,IN,O
,victims,NNS,O
,.,.,O
Sentence 46,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,renamed,VBN,O
,the,DT,O
,TAINTEDSCRIBE,NNP,B-M
,main,JJ,I-M
,executable,JJ,I-M
,to,TO,O
,disguise,VB,B-V
,itself,PRP,O
,as,IN,O
,Microsoft,NNP,I-V
,,POS,O
,s,NN,O
,narrator,NN,I-V
,.,.,O
Sentence 47,BlueNorOff,NNP,B-M
,is,VBZ,O
,also,RB,O
,called,VBN,O
,APT38,NNP,B-M
,.,.,O
Sentence 48,Any,DT,O
,organization,NN,O
,in,IN,O
,South,NNP,B-L
,Korea,NNP,I-L
,is,VBZ,O
,vulnerable,JJ,O
,to,TO,O
,AndAriel,NNP,B-TA
,.,.,O
Sentence 49,AndAriel,NNP,B-TA
,,POS,O
,s,JJ,O
,Targets,NNS,O
,include,VBP,O
,government,NN,B-ID
,",",",",O
,defense,NN,B-ID
,",",",",O
,and,CC,O
,any,DT,O
,economic,JJ,O
,symbol,NN,O
,.,.,O
Sentence 50,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NNP,B-M
,IndiaIndia,NNP,B-M
,saves,VBZ,B-AP
,information,NN,I-AP
,gathered,VBD,I-AP
,about,IN,O
,the,DT,O
,victim,NN,O
,to,TO,O
,a,DT,O
,file,NN,O
,that,WDT,O
,is,VBZ,O
,uploaded,VBN,O
,to,TO,O
,one,CD,O
,of,IN,O
,its,PRP$,O
,10,CD,O
,C2,NNP,B-AP
,servers,NNS,I-AP
,which,WDT,O
,is,VBZ,O
,an,DT,O
,example,NN,O
,of,IN,O
,exfiltration,NN,B-AP
,.,.,O
Sentence 51,Charges,NNS,O
,filed,VBN,O
,relate,VBP,O
,to,TO,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,,,O
,s,VBZ,O
,long,JJ,O
,-,:,O
,running,VBG,O
,cyber,NN,O
,crime,NN,O
,spree,NN,O
,.,.,O
Sentence 52,The,DT,O
,trio,NN,O
,from,IN,O
,APT38,NNP,B-TA
,also,RB,O
,attempted,VBD,O
,to,TO,O
,steal,VB,O
,over,IN,O
,$,$,O
,1,CD,O
,.,.,O
,2bn,CD,O
,from,IN,O
,banks,NNS,O
,in,IN,O
,Africa,NNP,B-L
,",",",",O
,Bangladesh,NNP,B-L
,",",",",O
,Malta,NNP,B-L
,",",",",O
,Mexico,NNP,B-L
,and,CC,O
,Vietnam,NNP,B-L
,.,.,O
Sentence 53,Lazarus,NNP,B-TA
,are,VBP,O
,further,RB,O
,implicated,VBN,O
,in,IN,O
,the,DT,O
,creation,NN,O
,of,IN,O
,the,DT,O
,destructive,JJ,O
,WannaCry,NNP,B-M
,2,CD,I-M
,.,.,I-M
,0,CD,I-M
,ransomware,NN,I-M
,in,IN,O
,May,NNP,O
,2017,CD,O
,.,.,O
Sentence 54,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,uses,VBZ,O
,multiple,JJ,O
,proxies,NNS,B-AP
,to,TO,O
,obfuscate,VB,B-AP
,network,NN,O
,traffic,NN,O
,from,IN,O
,victims,NNS,O
,.,.,O
Sentence 55,Researchers,NNS,O
,investigated,VBD,O
,a,DT,O
,widespread,JJ,O
,and,CC,O
,opportunistic,JJ,O
,WCry,NNP,B-M
,(,(,O
,also,RB,O
,known,VBN,O
,as,IN,O
,WanaCry,NNP,B-M
,",",",",O
,WanaCrypt,NNP,B-M
,",",",",O
,and,CC,O
,Wana,NNP,B-M
,Decrypt0r,NNP,I-M
,),),O
,ransomware,NN,B-M
,made,VBN,O
,by,IN,O
,lazarus,JJ,B-TA
,group,NN,I-TA
,.,.,O
Sentence 56,In,IN,O
,late,JJ,O
,2017,CD,O
,",",",",O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,used,VBD,O
,KillDisk,NNP,B-T
,",",",",O
,a,DT,O
,disk,NN,O
,-,:,O
,wiping,NN,B-AP
,tool,NN,O
,",",",",O
,in,IN,O
,an,DT,O
,attack,NN,O
,against,IN,O
,an,DT,O
,online,NN,B-ID
,casino,NN,I-ID
,based,VBN,O
,in,IN,O
,Central,NNP,B-L
,America,NNP,I-L
,.,.,O
Sentence 57,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,stole,VBD,O
,tens,NNS,O
,of,IN,O
,millions,NNS,O
,of,IN,O
,dollars,NNS,O
,,,O
,worth,NN,O
,of,IN,O
,cryptocurrency,NN,B-ID
,.,.,O
Sentence 58,The,DT,O
,campaign,NN,B-C
,,,O
,s,NN,O
,use,NN,O
,of,IN,O
,an,DT,O
,SMB,NNP,B-M
,worm,NN,B-M
,to,TO,O
,distribute,VB,O
,WCry,NNP,B-M
,contributed,VBD,O
,to,TO,O
,the,DT,O
,ransomware,NN,B-M
,,NNP,O
,s,NN,O
,virulence,NN,O
,.,.,O
Sentence 59,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,VBZ,B-M
,SHARPKNOT,NNP,B-M
,overwrites,NNS,B-AP
,and,CC,O
,deletes,VBZ,B-AP
,the,DT,O
,Master,NNP,O
,Boot,NNP,O
,Record,NNP,O
,(,(,O
,MBR,NNP,O
,),),O
,on,IN,O
,the,DT,O
,victim,NN,O
,,POS,O
,s,JJ,O
,machine,NN,O
,and,CC,O
,has,VBZ,O
,possessed,VBN,B-AP
,MBR,NNP,B-M
,wiper,IN,I-M
,malware,NN,I-M
,since,IN,O
,at,IN,O
,least,JJS,O
,2009,CD,O
,.,.,O
Sentence 60,Associated,VBN,O
,Groups,NNS,O
,:,:,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,",",",",O
,Guardians,NNP,B-TA
,of,IN,I-TA
,Peace,NNP,I-TA
,",",",",O
,ZINC,NNP,B-TA
,",",",",O
,NICKEL,NNP,B-TA
,ACADEMY,NNP,I-TA
,.,.,O
Sentence 61,ID,NN,O
,:,:,O
,G0032,NNP,O
,.,.,O
Sentence 62,AuditCred,NNP,B-M
,",",",",O
,a,DT,O
,software,NN,O
,used,VBN,O
,by,IN,O
,Lazarus,NNP,B-TA
,",",",",O
,is,VBZ,O
,used,VBN,O
,in,IN,O
,the,DT,O
,techniques,NNS,O
,Windows,NNP,B-AP
,Command,NNP,I-AP
,Shell,NNP,I-AP
,",",",",O
,Commonly,NNP,O
,Used,VBD,O
,Port,NNP,O
,",",",",O
,Create,NNP,B-AP
,or,CC,O
,Modify,NNP,B-AP
,System,NNP,I-AP
,Process,NNP,I-AP
,:,:,O
,Windows,NNP,B-AP
,Service,NNP,I-AP
,.,.,O
Sentence 63,RawDisk,NNP,B-T
,is,VBZ,O
,used,VBN,O
,for,IN,O
,Data,NNP,B-AP
,Destruction,NNP,I-AP
,",",",",O
,Disk,NNP,B-AP
,Wipe,NNP,I-AP
,etc,NN,O
,.,.,O
Sentence 64,TYPEFRAME,NNP,B-M
,is,VBZ,O
,used,VBN,O
,in,IN,O
,Ingress,NNP,B-AP
,Tool,NNP,I-AP
,Transfer,NNP,I-AP
,",",",",O
,Modify,NNP,B-AP
,Registry,NNP,I-AP
,",",",",O
,Non,NNP,O
,-,:,O
,Standard,NNP,O
,Port,NNP,O
,",",",",O
,Obfuscated,NNP,B-AP
,Files,NNP,I-AP
,or,CC,O
,Information,NNP,O
,.,.,O
Sentence 65,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NNP,B-M
,SierraBravo,NNP,B-M
,-,:,I-M
,Two,CD,I-M
,generates,NNS,B-AP
,an,DT,O
,email,JJ,O
,message,NN,O
,via,IN,O
,SMTP,NNP,O
,containing,VBG,O
,information,NN,O
,about,IN,O
,newly,RB,O
,infected,VBN,O
,victims,NNS,O
,.,.,O
Sentence 66,Lazarus,NNP,B-TA
,group,NN,O
,is,VBZ,O
,also,RB,O
,known,VBN,O
,as,IN,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,.,.,O
Sentence 67,Guardians,NNS,B-TA
,of,IN,I-TA
,Peace,NNP,I-TA
,is,VBZ,O
,an,DT,O
,alias,NN,O
,for,IN,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,.,.,O
Sentence 68,Zinc,NNP,B-TA
,is,VBZ,O
,another,DT,O
,name,NN,O
,associated,VBN,O
,with,IN,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,.,.,O
Sentence 69,NICKEL,NNP,B-TA
,ACADEMY,NNP,I-TA
,is,VBZ,O
,a,DT,O
,name,NN,O
,used,VBN,O
,for,IN,O
,HIDDEN,NNP,B-C
,COBRA,NNP,I-C
,.,.,O
Sentence 70,Lazarus,NNP,B-TA
,has,VBZ,O
,been,VBN,O
,responsible,JJ,O
,for,IN,O
,many,JJ,O
,attacks,NNS,O
,including,VBG,O
,Operation,NNP,B-C
,Flame,NNP,I-C
,",",",",O
,Operation,NNP,B-C
,1Mission,CD,I-C
,and,CC,O
,Operation,NNP,B-C
,Troy,NNP,I-C
Sentence 71,HIDDEN,NNP,B-TA
,COBRA,NNP,I-TA
,is,VBZ,O
,involved,VBN,O
,in,IN,O
,the,DT,O
,operation,NN,B-C
,Ten,NNP,I-C
,Days,NNP,I-C
,of,IN,I-C
,Rain,NNP,I-C
,.,.,O
Sentence 72,DarkSeoul,NNP,B-C
,has,VBZ,O
,been,VBN,O
,associated,VBN,O
,with,IN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,aswell,NN,O
,.,.,O
Sentence 73,Lazarus,NNP,B-TA
,was,VBD,O
,responsible,JJ,O
,for,IN,O
,the,DT,O
,destructive,JJ,O
,wiper,NN,B-AP
,attack,NN,I-AP
,against,IN,O
,Sony,NNP,B-ID
,Pictures,NNP,I-ID
,Entertainment,NNP,I-ID
,as,IN,O
,part,NN,O
,of,IN,O
,a,DT,O
,campaign,NN,O
,named,VBN,O
,Operation,NNP,B-C
,Blockbuster,NNP,I-C
,by,IN,O
,Novetta,NNP,B-TA
,.,.,O
Sentence 74,Lazarus,NNP,B-TA
,group,NN,I-TA
,has,VBZ,O
,been,VBN,O
,active,JJ,O
,since,IN,O
,at,IN,O
,least,JJS,O
,2009,CD,O
,.,.,O
Sentence 75,Various,JJ,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NN,B-M
,modifies,VBZ,B-AP
,the,DT,O
,Windows,NNP,B-ID
,firewall,NN,I-ID
,to,TO,O
,allow,VB,B-AP
,incoming,JJ,I-AP
,connections,NNS,O
,or,CC,O
,disable,VB,B-AP
,it,PRP,O
,entirely,RB,O
,using,VBG,O
,netsh,NN,B-T
,.,.,O
Sentence 76,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,renamed,VBN,O
,the,DT,O
,TAINTEDSCRIBE,NNP,B-M
,main,JJ,I-M
,executable,JJ,I-M
,to,TO,O
,disguise,VB,B-AP
,itself,PRP,I-AP
,as,IN,O
,Microsoft,NNP,B-ID
,,POS,O
,s,NN,O
,narrator,NN,I-ID
,as,IN,O
,a,DT,O
,form,NN,O
,of,IN,O
,masquarade,NN,B-AP
,.,.,O
Sentence 77,mssecsvc,NN,B-M
,.,.,I-M
,exe,CC,I-M
,db349b97c37d22f5ea1d1841e3c89eb4,JJ,I-M
,EXE,NNP,I-M
Sentence 78,WannaCry,NNP,B-M
,malware,NN,I-M
,uses,VBZ,O
,tasksche,NN,B-M
,.,.,I-M
,exe,NN,I-M
,and,CC,O
,md5,VB,B-INF
,hash,NN,I-INF
,84c82835a5d21bbcf75a61706d8ab549,CD,I-INF
,.,.,O
Sentence 79,The,DT,O
,WannaCry,NNP,B-M
,malware,NN,I-M
,appends,NNS,B-AP
,encrypted,VBN,I-AP
,data,NNS,I-AP
,files,NNS,O
,with,IN,O
,the,DT,O
,.,.,O
,WCRY,NNP,B-M
,extension,NN,I-M
,",",",",O
